Name,Notes,Parent,QiCode,Sort Key,Source,Status,Tags,Type,Version
1. 🎯 Core Principles,Merged into existing draft chapter without changing chapter name.,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),,,,draft,,Section,
SECTION 1: VISION & ARCHITECTURE,Merged into existing draft chapter without changing chapter name.,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.001,,,draft,,Section,
SECTION 2: FOUNDATIONS & ENVIRONMENT,Merged into existing draft chapter without changing chapter name.,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.002,,,draft,,Section,
SECTION 3: CORE MODULES,Merged into existing draft chapter without changing chapter name.,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.003,,,draft,,Section,
SECTION 4: UI & INTERACTION,Merged into existing draft chapter without changing chapter name.,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.004,,,draft,,Section,
SECTION 5: WORKFLOWS & AUTOMATION,Merged into existing draft chapter without changing chapter name.,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.005,,,draft,,Workflow,
SECTION 6: EXPANSION & COLLAB,Merged into existing draft chapter without changing chapter name.,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.006,,,draft,,Section,
SECTION 7: DNA & DOCUMENTATION,Merged into existing draft chapter without changing chapter name.,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.007,,,draft,,Section,
📘 QiCodex — Unified Decimal Registry,Merged into existing draft chapter without changing chapter name.,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.01.005,,,draft,,Reference,
1.21.2_Principle_of_Presence.md,Merged into existing draft chapter without changing chapter name.,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.01.002,,,draft,,Rule,
1.21.1_Principle_of_Awareness.md,Merged into existing draft chapter without changing chapter name.,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.01.001,,,draft,,Rule,
ARTICLE I — Realm Structure,Merged into existing draft chapter without changing chapter name.,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.01.001,,,draft,,Reference,v2.0
ARTICLE II — QiDecimal System,Merged into existing draft chapter without changing chapter name.,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.01.002,,,draft,,Standard,v2.0
ARTICLE III — Hierarchy & Authority,Merged into existing draft chapter without changing chapter name.,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.01.003,,,draft,,Standard,v2.0
ARTICLE V — Privacy & Sovereignty,Merged into existing draft chapter without changing chapter name.,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.01.004,,,draft,,Standard,v2.0
