action,path,reason
archive_previous_title,10_qispark/10_QiSpark/00_QiCode/title_01_foundations -> _qiconfig/cleanup_2026-06-29_qicode_personal/moved_review/previous_generated_titles/title_01_foundations,Archived generated title folder from previous QiCode model.
archive_previous_title,10_qispark/10_QiSpark/00_QiCode/title_03_work -> _qiconfig/cleanup_2026-06-29_qicode_personal/moved_review/previous_generated_titles/title_03_work,Archived generated title folder from previous QiCode model.
archive_previous_title,10_qispark/10_QiSpark/00_QiCode/title_04_relations -> _qiconfig/cleanup_2026-06-29_qicode_personal/moved_review/previous_generated_titles/title_04_relations,Archived generated title folder from previous QiCode model.
archive_previous_title,10_qispark/10_QiSpark/00_QiCode/title_05_action -> _qiconfig/cleanup_2026-06-29_qicode_personal/moved_review/previous_generated_titles/title_05_action,Archived generated title folder from previous QiCode model.
archive_previous_title,10_qispark/10_QiSpark/00_QiCode/title_06_identity -> _qiconfig/cleanup_2026-06-29_qicode_personal/moved_review/previous_generated_titles/title_06_identity,Archived generated title folder from previous QiCode model.
archive_previous_title,10_qispark/10_QiSpark/00_QiCode/title_07_mind -> _qiconfig/cleanup_2026-06-29_qicode_personal/moved_review/previous_generated_titles/title_07_mind,Archived generated title folder from previous QiCode model.
archive_previous_title,10_qispark/10_QiSpark/00_QiCode/title_08_cycles -> _qiconfig/cleanup_2026-06-29_qicode_personal/moved_review/previous_generated_titles/title_08_cycles,Archived generated title folder from previous QiCode model.
archive_previous_title,10_qispark/10_QiSpark/00_QiCode/title_09_ethics -> _qiconfig/cleanup_2026-06-29_qicode_personal/moved_review/previous_generated_titles/title_09_ethics,Archived generated title folder from previous QiCode model.
archive_previous_title,10_qispark/10_QiSpark/00_QiCode/title_10_legacy -> _qiconfig/cleanup_2026-06-29_qicode_personal/moved_review/previous_generated_titles/title_10_legacy,Archived generated title folder from previous QiCode model.
write_title,10_qispark/10_QiSpark/00_QiCode/title_01_truth/title_01_truth.md,Wrote personal-doctrine title T01.
write_title,10_qispark/10_QiSpark/00_QiCode/title_02_self/title_02_self.md,Wrote personal-doctrine title T02.
write_title,10_qispark/10_QiSpark/00_QiCode/title_03_identity/title_03_identity.md,Wrote personal-doctrine title T03.
write_title,10_qispark/10_QiSpark/00_QiCode/title_04_mind/title_04_mind.md,Wrote personal-doctrine title T04.
write_title,10_qispark/10_QiSpark/00_QiCode/title_05_work/title_05_work.md,Wrote personal-doctrine title T05.
write_title,10_qispark/10_QiSpark/00_QiCode/title_06_people/title_06_people.md,Wrote personal-doctrine title T06.
write_title,10_qispark/10_QiSpark/00_QiCode/title_07_ethics/title_07_ethics.md,Wrote personal-doctrine title T07.
write_title,10_qispark/10_QiSpark/00_QiCode/title_08_cycles_legacy/title_08_cycles_legacy.md,Wrote personal-doctrine title T08.
write_title,10_qispark/10_QiSpark/00_QiCode/title_09_qispark_bridge/title_09_qispark_bridge.md,Wrote personal-doctrine title T09.
write_index,10_qispark/10_QiSpark/00_QiCode/_index.md,Rebuilt QiCode index around personal doctrine and QiSpark bridge.
write_guide,10_qispark/10_QiSpark/00_QiCode/citation_guide.md,Updated citation guide examples for personal doctrine.
write_overview,10_qispark/10_QiSpark/00_QiCode/01_core_overview.md,Updated overview to explain personal doctrine and technical handoff.
